model,split,n_samples,run_count,subset,mae,rmse,wape,mae_h5,rmse_h5,wape_h5,mae_h10,rmse_h10,wape_h10,mae_h15,rmse_h15,wape_h15,note
ha_baseline,test,4,1,overall,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
ha_baseline,test,4,1,non_incident,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
xgboost,test,4,1,overall,1.018134593963623,2.3417000770568848,0.47024914622306824,0.9592407941818237,2.204519510269165,0.446864515542984,0.9918142557144165,2.272381544113159,0.4594767391681671,1.018134593963623,2.3417000770568848,0.47024914622306824,P4 movement-level control-feature closed-loop pipeline
xgboost,test,4,1,non_incident,1.018134593963623,2.3417000770568848,0.47024914622306824,0.9592407941818237,2.204519510269165,0.446864515542984,0.9918142557144165,2.272381544113159,0.4594767391681671,1.018134593963623,2.3417000770568848,0.47024914622306824,P4 movement-level control-feature closed-loop pipeline
lstm,test,4,1,overall,1.0679796934127808,2.2290539741516113,0.49327126145362854,1.0290422439575195,2.132096767425537,0.4793817102909088,1.047819972038269,2.17057466506958,0.4854224622249603,1.0679796934127808,2.2290539741516113,0.49327126145362854,P4 movement-level control-feature closed-loop pipeline
lstm,test,4,1,non_incident,1.0679796934127808,2.2290539741516113,0.49327126145362854,1.0290422439575195,2.132096767425537,0.4793817102909088,1.047819972038269,2.17057466506958,0.4854224622249603,1.0679796934127808,2.2290539741516113,0.49327126145362854,P4 movement-level control-feature closed-loop pipeline
transformer_v1,test,4,1,overall,1.0738544464111328,2.457641839981079,0.49598467350006104,1.0124951601028442,2.3100814819335938,0.4716731905937195,1.0495754480361938,2.3931119441986084,0.48623570799827576,1.0738544464111328,2.457641839981079,0.49598467350006104,P4 movement-level control-feature closed-loop pipeline
transformer_v1,test,4,1,non_incident,1.0738544464111328,2.457641839981079,0.49598467350006104,1.0124951601028442,2.3100814819335938,0.4716731905937195,1.0495754480361938,2.3931119441986084,0.48623570799827576,1.0738544464111328,2.457641839981079,0.49598467350006104,P4 movement-level control-feature closed-loop pipeline
