feature_set,model,split,n_samples,run_count,subset,mae,rmse,wape,mae_h5,rmse_h5,wape_h5,mae_h10,rmse_h10,wape_h10,mae_h15,rmse_h15,wape_h15,note
with_control,ha_baseline,test,4,1,overall,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
with_control,ha_baseline,test,4,1,non_incident,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
with_control,xgboost,test,4,1,overall,0.9934083819389343,2.1901423931121826,0.45882877707481384,0.9355309009552002,2.039879560470581,0.43581923842430115,0.9651857614517212,2.105597496032715,0.4471406042575836,0.9934083819389343,2.1901423931121826,0.45882877707481384,P4 movement-level control-feature closed-loop pipeline
with_control,xgboost,test,4,1,non_incident,0.9934083819389343,2.1901423931121826,0.45882877707481384,0.9355309009552002,2.039879560470581,0.43581923842430115,0.9651857614517212,2.105597496032715,0.4471406042575836,0.9934083819389343,2.1901423931121826,0.45882877707481384,P4 movement-level control-feature closed-loop pipeline
with_control,lstm,test,4,1,overall,1.0999152660369873,2.223792314529419,0.5080214142799377,1.0611664056777954,2.131882667541504,0.49434682726860046,1.0771327018737793,2.170090675354004,0.4990021586418152,1.0999152660369873,2.223792314529419,0.5080214142799377,P4 movement-level control-feature closed-loop pipeline
with_control,lstm,test,4,1,non_incident,1.0999152660369873,2.223792314529419,0.5080214142799377,1.0611664056777954,2.131882667541504,0.49434682726860046,1.0771327018737793,2.170090675354004,0.4990021586418152,1.0999152660369873,2.223792314529419,0.5080214142799377,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,4,1,overall,1.0337508916854858,2.1643381118774414,0.47746190428733826,0.9987907409667969,2.060518741607666,0.4652889370918274,1.0103970766067505,2.1040546894073486,0.4680855870246887,1.0337508916854858,2.1643381118774414,0.47746190428733826,P4 movement-level control-feature closed-loop pipeline
with_control,transformer_v1,test,4,1,non_incident,1.0337508916854858,2.1643381118774414,0.47746190428733826,0.9987907409667969,2.060518741607666,0.4652889370918274,1.0103970766067505,2.1040546894073486,0.4680855870246887,1.0337508916854858,2.1643381118774414,0.47746190428733826,P4 movement-level control-feature closed-loop pipeline
without_control,ha_baseline,test,4,1,overall,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
without_control,ha_baseline,test,4,1,non_incident,1.0701063871383667,2.269871950149536,0.494253545999527,1.0023752450942993,2.1299800872802734,0.46695879101753235,1.0356584787368774,2.2101118564605713,0.4797884225845337,1.0701063871383667,2.269871950149536,0.494253545999527,P4 movement-level control-feature closed-loop pipeline
without_control,xgboost,test,4,1,overall,1.0147688388824463,2.2082087993621826,0.4686945974826813,0.9572741985321045,2.0577077865600586,0.44594839215278625,0.9876428246498108,2.124343156814575,0.4575442671775818,1.0147688388824463,2.2082087993621826,0.4686945974826813,P4 movement-level control-feature closed-loop pipeline
without_control,xgboost,test,4,1,non_incident,1.0147688388824463,2.2082087993621826,0.4686945974826813,0.9572741985321045,2.0577077865600586,0.44594839215278625,0.9876428246498108,2.124343156814575,0.4575442671775818,1.0147688388824463,2.2082087993621826,0.4686945974826813,P4 movement-level control-feature closed-loop pipeline
without_control,lstm,test,4,1,overall,1.102009892463684,2.2241051197052,0.5089889168739319,1.0690898895263672,2.124535083770752,0.4980379641056061,1.080009937286377,2.1681199073791504,0.5003350377082825,1.102009892463684,2.2241051197052,0.5089889168739319,P4 movement-level control-feature closed-loop pipeline
without_control,lstm,test,4,1,non_incident,1.102009892463684,2.2241051197052,0.5089889168739319,1.0690898895263672,2.124535083770752,0.4980379641056061,1.080009937286377,2.1681199073791504,0.5003350377082825,1.102009892463684,2.2241051197052,0.5089889168739319,P4 movement-level control-feature closed-loop pipeline
without_control,transformer_v1,test,4,1,overall,1.0452436208724976,2.157512664794922,0.48277008533477783,1.000152349472046,2.0399577617645264,0.4659232497215271,1.0207583904266357,2.100358009338379,0.47288569808006287,1.0452436208724976,2.157512664794922,0.48277008533477783,P4 movement-level control-feature closed-loop pipeline
without_control,transformer_v1,test,4,1,non_incident,1.0452436208724976,2.157512664794922,0.48277008533477783,1.000152349472046,2.0399577617645264,0.4659232497215271,1.0207583904266357,2.100358009338379,0.47288569808006287,1.0452436208724976,2.157512664794922,0.48277008533477783,P4 movement-level control-feature closed-loop pipeline
